Cage_name	Prey_type	Tube_name	dilution	Series	Rep	dataset	T0_worm_g	T1_worm_g	W_Change
MTS241B	Fly	MTS241B	4	2	1	MT	NA	NA	0.0039
MTS242B	Fly	MTS242B	4	2	2	MT	NA	NA	7.00E-04
MTS243B	Fly	MTS243B	4	2	3	MT	NA	NA	0.003
MTS301B	Fly	MTS301B	0	3	1	MT	NA	NA	0.0016
MTS302B	Fly	MTS302B	0	3	2	MT	NA	NA	0.0033
MTS303B	Fly	MTS303B	0	3	3	MT	NA	NA	0.0021
MTS311B	Fly	MTS311B	1	3	1	MT	NA	NA	0.0016
MTS312B	Fly	MTS312B	1	3	2	MT	NA	NA	0.0027
MTS313B	Fly	MTS313B	1	3	3	MT	NA	NA	0.0058
MTS321B	Fly	MTS321B	2	3	1	MT	NA	NA	0.0056
MTS322B	Fly	MTS322B	2	3	2	MT	NA	NA	0.0032
MTS323B	Fly	MTS323B	2	3	3	MT	NA	NA	0.0032
MTS331B	Fly	MTS331B	3	3	1	MT	NA	NA	0.0034
MTS332B	Fly	MTS332B	3	3	2	MT	NA	NA	0.0039
MTS333B	Fly	MTS333B	3	3	3	MT	NA	NA	-0.0011
MTS341B	Fly	MTS341B	4	3	1	MT	NA	NA	0.0052
MTS342B	Fly	MTS342B	4	3	2	MT	NA	NA	6.00E-04
MTS343B	Fly	MTS343B	4	3	3	MT	NA	NA	0.004
MTSM1B	Fly	MTSM1B	NA	C	1	MT	NA	NA	0.0028
MTSM2B	Fly	MTSM2B	NA	C	2	MT	NA	NA	0.0058
MTSM3B	Fly	MTSM3B	NA	C	3	MT	NA	NA	0.0013
MTSW1B	Fly	MTSW1B	NA	C	1	MT	NA	NA	0.0042
MTSW2B	Fly	MTSW2B	NA	C	2	MT	NA	NA	0.003
MTSW3B	Fly	MTSW3B	NA	C	3	MT	NA	NA	0.0014
									
									
									
									
									
									
									
									
									
									
									
