"Function_name"	"Intercept_estimate"	"Intercept_stde"	"Intercept_tval"	"Intercept_pval"	"slope_estimate"	"slope_stde"	"slope_tval"	"slope_pval"	"Chisq"	"df"	"pval"	"adj.p"
"1"	"alfa_D_Lactose"	"4.39257766449776"	"0.744623282737066"	"5.89906032531194"	"6.02168217717038e-07"	"-0.694698622471507"	"0.857933843556251"	"-0.809734489074226"	"0.422767552586261"	"0.655669942796312"	"1"	"0.418092791315622"	"0.609790906752867"
"2"	"alpha_cyclodextrin"	"4.25007245362268"	"0.62840880977677"	"6.76322862999396"	"3.56169938992503e-08"	"-0.530256813891699"	"0.720279765176596"	"-0.736181744272231"	"0.465811459019776"	"0.541963560599717"	"1"	"0.461620100634301"	"0.622183613898406"
"3"	"alpha_keto_butyric_acid"	"4.1672568849701"	"0.363806489139831"	"11.4545974559799"	"2.3541251260495e-14"	"-1.02231743786939"	"0.864650628179792"	"-1.18234741819538"	"0.243879595206355"	"1.39794541731331"	"1"	"0.23706787781887"	"0.597555108444072"
"4"	"Beta_methyl_D_glucoside"	"4.19094109217706"	"0.485945608450508"	"8.62430078448563"	"9.3612830643046e-11"	"-0.6874901168663"	"0.799907913292522"	"-0.859461577316449"	"0.395083425133602"	"0.738674202883302"	"1"	"0.390085909447654"	"0.609790906752867"
"5"	"D_cellobiose"	"4.81910865190344"	"0.719936404241643"	"6.6937977070068"	"4.46718713855279e-08"	"-1.31477565817909"	"0.902416923755334"	"-1.45694924770223"	"0.15274706762206"	"2.12270111038008"	"1"	"0.145130390312343"	"0.471813259157741"
"6"	"D_galactonic_acid_gama_lactone"	"4.65789910933466"	"0.587070886453132"	"7.93413404891526"	"8.17678604427652e-10"	"-1.35723679501346"	"0.884567066144722"	"-1.53435148894793"	"0.132624620792864"	"2.35423449163674"	"1"	"0.124943205107102"	"0.471813259157741"
"7"	"D_galactouronic_acid"	"4.83784682565008"	"0.606758872638454"	"7.97326095061947"	"7.22194917239178e-10"	"-1.56603720945701"	"0.874428941635407"	"-1.79092563716855"	"0.0806900647830124"	"3.20741463786759"	"1"	"0.0733052289948308"	"0.471813259157741"
"8"	"D_glucosaminic_acid"	"4.11587132769238"	"0.698483907372605"	"5.89257860381423"	"6.15084264937617e-07"	"-0.439518960074082"	"0.969548149179342"	"-0.453323499659203"	"0.652706035428604"	"0.205502195343286"	"1"	"0.650315813630353"	"0.806391608901638"
"9"	"D_L_alpha_glycerol_phospate"	"3.71459083920586"	"0.449495700355243"	"8.26390738836915"	"2.88488518360566e-10"	"0.280652262519746"	"1.12123800502535"	"0.250305698934457"	"0.803600995089866"	"0.0626529429190642"	"1"	"0.80235094960873"	"0.903170578165127"
"10"	"D_malic_Acid"	"4.52675113818093"	"0.497156742061193"	"9.10527959333951"	"2.13282786722087e-11"	"-1.10173216278087"	"0.700108016696655"	"-1.57366025885437"	"0.123252029508754"	"2.4764066102976"	"1"	"0.115566014100739"	"0.471813259157741"
"11"	"D_Mannitol"	"4.0317857488905"	"0.958420780867316"	"4.20669692203665"	"0.000137357244366656"	"-0.224484304729723"	"0.963481602644676"	"-0.232992829456767"	"0.816926259448687"	"0.0542856585782862"	"1"	"0.815766973826566"	"0.903170578165127"
"12"	"D_xylose"	"4.61474657829703"	"0.767963470360756"	"6.0090704263957"	"4.19995409433549e-07"	"-0.889494287734353"	"0.821121861286383"	"-1.08326708820157"	"0.285019534604206"	"1.17346758438071"	"1"	"0.2786898892044"	"0.597555108444072"
"13"	"four_hydroxy_benzoic_Acid"	"5.00867291562124"	"0.736853267952808"	"6.79738169518713"	"3.18639409934785e-08"	"-1.28340254296825"	"0.760590364126723"	"-1.6873768108301"	"0.0991257376022189"	"2.84724050172717"	"1"	"0.0915309198567216"	"0.471813259157741"
"14"	"Gamma_hydroxybutyric_Acid"	"4.41955192690645"	"0.799880793293503"	"5.52526321917167"	"2.04338611880829e-06"	"-0.620200555806416"	"0.790581788395051"	"-0.784486266835815"	"0.437264143582614"	"0.615418702853995"	"1"	"0.432754837050421"	"0.609790906752867"
"15"	"Glucose_1_phosphate"	"3.85016190029304"	"0.469582644247491"	"8.19911457005177"	"3.53709634604092e-10"	"-0.0813714702937538"	"0.942753207393209"	"-0.0863125891862544"	"0.93163808007732"	"0.00744986305204835"	"1"	"0.931217931100899"	"0.931217931100899"
"16"	"Glycogen"	"4.26562595746005"	"0.598478701522416"	"7.12744822265039"	"1.08972277855408e-08"	"-0.675108144671009"	"0.838007657447743"	"-0.805610949579072"	"0.425115004936984"	"0.649009002081712"	"1"	"0.420467210100972"	"0.609790906752867"
"17"	"Glycyl_L_glutamic_Acid"	"4.07470135910725"	"0.450291757144451"	"9.04902498093055"	"2.53207167324414e-11"	"-0.606413354838305"	"0.926452374946445"	"-0.65455426661663"	"0.516410095402355"	"0.428441287946042"	"1"	"0.512754777266361"	"0.66230825396905"
"18"	"I_Erytritol"	"3.77979255301078"	"0.40606932017757"	"9.30824459074604"	"1.15205315123796e-11"	"0.0866624711966583"	"0.880157054297583"	"0.0984625082233988"	"0.922044860170337"	"0.00969486552566836"	"1"	"0.921565041359443"	"0.931217931100899"
"19"	"Itaconic_Acid"	"4.67331892179338"	"0.65577219794434"	"7.12643649188377"	"1.09330198669514e-08"	"-0.938086130980088"	"0.679502130103725"	"-1.3805492130494"	"0.174898072250037"	"1.90591612965133"	"1"	"0.167417608088231"	"0.471813259157741"
